artist,songs_uploaded,plays,website,facebook,instagram,youtube,twitter
Pat McKillen,3,670,https://www.patmckillen.com,https://www.facebook.com/patmckillenmusic/,,https://www.youtube.com/user/patmckillenmusic,@mckillenmusic
Redeye Revolver,4,229,https://www.reverbnation.com/redeyerevolver,https://www.facebook.com/pg/redeyerevolver,,,
Bajawalla,8,866,https://myspace.com/bajawalla,,,,
Mutts,13,740,http://muttsmusic.com/,https://www.facebook.com/wearemutts/,,,
Skidaway,4,272,,,,,
Craver,1,166,www.craver.org,https://www.facebook.com/craver.org/,,,
Landry,11,431,www.landryatthebayou.com,www.facebook.com/landrylemystique,,www.youtube.com/landryatthebayou,
Haberdasher,3,247,https://www.haberdasherband.com,https://www.facebook.com/haberdasherband/,,,
Jia Senghe,6,239,www.utaguchi.com,,Jia Senghe,https://www.youtube.com/channel/UCNqfXD6ExowknQlbT8zBALg,
Mr. Pope,4,380,,www.facebook.com/mrpopechicago,www.instagram.com/mrpopechicago,https://www.youtube.com/channel/UCYhy_Vagxx8dPtCBhDvGIjw,@mrpopechicago
Steve Guidus,1,212,Steveguidusmusic.com,,,,
Jae Haze ,3,177,,https://www.facebook.com/jeremy.j.kinsey,https://www.instagram.com/therealjaehaze/,https://www.youtube.com/channel/UCPpm9bhspHh8vgFFKpKrYhw,
Jordan Avery,1,301,www.jordanaaverymusic.com,,www.instagram.com/jordanaavery,,
Jayblack,2,226,www.cdbaby.com/cd/welcometomyworld,http://www.facebook.com/jayblack,www.instagram.com/jayblack36,https://youtu.be/DjyNct6eyZw,@jayblack354
Dreamah Jay,0,0,,www.facebook.com/dreamahjay,www.instagram.com/dreamahjay_03,,DreamahJay03
TFT,2,79,,https://www.facebook.com/IceyTony-TFT-704692142934816/?ref=hl,https://www.instagram.com/iceytonytft/,https://www.youtube.com/channel/UCr4ip-5fKa_OErDKwuaeUig,https://twitter.com/IceyTonyTFT
BLKNUSS,0,0,dawiopara.com,Dave Wilks,,,dawi opara@pharoh poet
TonyBeenChi,5,81,www.izzyvisionlegacy.com,www.facebook.com/tonybeenchi,www.instagram.com/tonybeenchi,www.youtube.com/izzyvisionmusic,@tonybeenchi
Da1,5,99,,https://www.facebook.com/da1music/,Da1theOriginal,https://www.youtube.com/channel/UCURDKAjTCcMbyHnSIUHgouw,Da1youHate
Christal Luster,0,0,www.christalluster.com,https://www.facebook.com/christallustermusic,https://www.instagram.com/christalluster/,https://www.youtube.com/channel/UCAQyQUYvqsasJ0YZ4KOBMEA/videos,@christalluster
Exile375,4,118,,www.facebook.com/exile375,www.instagram/exile375,www.youtube.com/testimonyima,@exile375
Prince Big ,1,63,Reverbnation.com/PrinceBig ,Www.princebigthefirst.com,,Youtu.be/nDS3XGJNFbw ,@PrinceBigYOG 
C A M M ,0,0,http://artistecard.com/camm,https://www.facebook.com/cammmusic/,instagram.com/camglamming,,@camglamming
Leekmg,0,0,Soundcloud. Com/leekmg,,Instagram. Com/bruceleekmg,YouTube. Com/dashdakid1,@bruceleekmg
K.RUSH Groove,0,0,,,,,
Tarek 22 Salam ,0,0,https://www.youtube.com/channel/UCLzzQh07DEZXKykW8AF30gQ,https://www.facebook.com/Twentytwo22Tarek-Guerbatou-299062973526118/,Tarek Guerbatou,https://www.youtube.com/channel/UCLzzQh07DEZXKykW8AF30gQ,
Digital Digga,0,0,www.DigitalDigga.com,www.facebook.com/DigitalDigga,www.instagram.com/DigitalDigga,,@DigitalDigga
The Christopher LeMark Xperience,1,36,www.ChristopherLeMark.com,https://www.facebook.com/iamchristopherlemark/,https://www.instagram.com/christopherlemark/,www.Youtube.com/christopherlemark,@chrislemark
John P. Wallis,3,273,www.reverbnation.com/johnwallis,,,,
Kyaira Marie,1,86,,https://www.facebook.com/kyaira.burnett,https://www.instagram.com/kyairamarie_933/,https://www.youtube.com/user/kyaira933,
Visionsofviolet,0,0,www. amazon.com/Worthwhile-Distraction-Violet-Vadie/dp/1478224096,,@visionsofviolet,,
Leo w3ST,1,41,somewherew3st.net,https://www.facebook.com/W3stshield92/,https://www.instagram.com/w3stshield92/,https://www.youtube.com/playlist?list=PLaE3CH7tDmpPUzTTTrQPryWbvpOsa5CSG,@w3stshield92
Henry Mansfield,1,188,www.henrymansfield.com,https://www.facebook.com/henrybeardedscootergang/,https://www.instagram.com/henry_mansfield_/,,
Juxtaflowz - Shamanic Interpreting  Priest ,0,0,Www.juxtaflowz.com,Www.facebook.com/juxtaflowz,Www.instagram.com/juxtaflowz,Www.youtube.com/juxtaflowz,@juxtaflowz
King KC,0,0,,GSO KC,GSO_K.C,https://youtu.be/B1LW-DKTHtM,@GSO_K.C
Real Ne$$,5,221,https://www.reverbnation.com/realne,https://www.facebook.com/ReaLNess731/?ref=aymt_homepage_panel&eid=ARCEoEPYEZ1tIhcv_ro0IN0WKZFK6lwC7hJMSPHDPVYIQ6IwAG-fsQjABFuRl-a4jMU9mh48ncbyUdtd,https://www.instagram.com/real_ness7/,https://www.youtube.com/channel/UCWTbt8_I8bl6FJUQ1Cr4ZZA?view_as=subscriber,https://twitter.com/Real_Ness7
Will Moffett ,2,47,,,https://www.instagram.com/willmoffett/,,@moffettwill726
Producer,0,0,,,,,
Grey Shore Avenue,1,29,greyshoreavenue.bandcamp.com/,https://www.facebook.com/greyshoreavenue/,,https://www.youtube.com/user/kdi12,@greyshoreavenue
jewleyouse,6,175,www.jmerances.com,www.facebook.com/jewleyouse,www.instagram/jewleyouse,,
Micha The Star,0,0,www.michathestar.com (not up yet),facebook.com/michathestar,www.instagram.com/michathestar,www.youtube.com/michathestar,@michathestar
Phil Circle,34,717,www.philcirclemusic.com,www.facebook.com/philcircle,www.instagram.com/philcirclemusic,www.youtube.com/philcircle,@philcircle
Louie3,11,390,www.louie3.com,,,,
ROB III,0,0,NA,NA,NA,NA,NA
Baertrum,0,0,baertrum.com,www.facebook.com/baertrum,www.instagram.com/baertrum,https://www.youtube.com/channel/UCbHfMKVtHDTQUzbMmPVC7gg?view_as=subscriber,@baertrum
Mo Javi,2,15,MoJaviMusic.com,https://m.facebook.com/MoJaviMusic/,www.instagram.com/MoJaviMusic,https://m.youtube.com/channel/UC7hGOSl_pk2gN0s70Ky6PJQ,@MoJaviMusic
Jean Atomic,0,0,https://bummerpunkrecords.bandcamp.com/album/true-north,https://www.facebook.com/jeanatomic/,,,@quantumkrissy
Harvey Finch Enterprise,2,41,www.hfemovement.com,https://www.facebook.com/HarveyFinchEnterprise/,,https://www.youtube.com/user/HareyFinchEnt,
Michael Small,0,0,,,Michael Small,,
Gia Tirmizy,1,175,www.giatirmizy.com,www.facebook.com/gtirmizyofficial,www.instagram.com/gia.tirmizy,https://www.youtube.com/channel/UCrzWKEnsxCjzc_AOL4KvhwA,
Joseph Tassone,0,0,,,Tassone,,
Spud Cotton,2,164,,www.facebook.com/Mrfeelgoodmusic,www.instagram.com/spudflow,,@spudflow
MissyMae La'Flare,2,101,https://youtu.be/r31SVPCMdII,,missymae_Laflare,https://youtu.be/r31SVPCMdII,Artist_MissyMae
Donjuan Maurice,0,0,www.donjuanmauirice.com,www.facebook.com/donjuanmautice,www.istagram.com/donjuanmaurice,www.youtube.com/donjuanmaurice,@donjuanmaurice
South City Revival,5,195,https://www.southcityrevival.com,https://www.facebook.com/southcityrev/,,,
As Husband & Wife,0,0,www.ashusbandandwife.com,www.facebook.com/ashusbandandwife/,www.instagram.com/ashusbandandwife,https://www.youtube.com/watch?v=gcbaqXZGiYs,
Kscie,0,0,kirkothescientist.com,https://www.facebook.com/kirkodascientist/,https://www.instagram.com/incredible_kirk/,,@incredible_kirk
Moe Mezzie,3,136,www.datpiff.com/moemezzie,,www.instagram.com/moemezzie,www.youtube.com/MoeMezzie,@iammezzie
The Simple Remedy,0,0,www.thesimpleremedy.com,Www.facebook.com/thesimpleremedy,www.instagram.com/thesimpleremedy,Www.youtube.com/thesimpleremedy,@thesimpleremedy
Gestalt,0,0,www.gestaltmusic.bandcamp.com,,www.instagram.com/gestaltmusic,www.youtube.com/gestalt,
Colin Cimmarusti,1,33,,https://www.facebook.com/colincimmarustimusic/,,,
iKev,0,0,SoundCloud.com/ListenToMyDamnSong,https://www.facebook.com/pg/iKevMusic/community/,,https://m.youtube.com/channel/UC-n1pB4d7jp5qQXr3j6jyOw,AwokenOblivian
Art Sensei,1,31,,https://www.facebook.com/yungurameshi/,https://www.instagram.com/artsensei__/,https://www.youtube.com/channel/UC820BYsqFjCFu68qfzzed7g?view_as=subscriber,@artsensei__
Aileen Eilert,3,41,,www.facebook.com/RoguePoetMusic/,Aileen Eilert,,
FURY,0,0,www.furyhiphop.com,www.facebook.com/furyhiphop,www.instagram.com/furyhiphop ,https://www.youtube.com/channel/UC7oV6GSrtlMDtEy89sAtytQ,@furyhiphop
BVAX ,0,0,www.brianvaxter.com,www.facebook.com/bvax,bvax,bvax,@bvax
Bushwick,0,0,http://piff.me/b45e194,https://m.facebook.com/Bushwickbhc/?ref=bookmarks,,,@mycool_bhc
Lamaar Oziér,1,27,www.lamaarmusic.com,https://www.facebook.com/lamaarozier,https://www.instagram.com/lamaarozier/,https://www.youtube.com/channel/UC1hTVfm1X8KI5QcBQ5apS1A,@lamaarozier
Natoyamj,0,0,,www.facebook.com/natoyamj,www.instagram.com/natoyamj,www.youtube.com/natoyamj,Natoyamj
Gail Gallagher,3,5,www.gailgallaghermusic.com,https://www.facebook.com/gailegallagher/,https://www.instagram.com/chibigail87/,,@chibigail
Rell the Wrecker,0,0,,,,www.youtube.com/jarelle Coleman/ Rell the wrecker,
Mz. M.A.G.I.C,4,27,,,,,
Noreiyea,0,0,https://thugz-nation.lnk.to/reBwxFA,www.facebook.com/noreiyeah20,www.instagram.com/noreiyeah2o,www.youtube.com/user/nrkillz6,@noreiyeah2o
Poetic Scope,0,0,,www.facebook.com/poetic.scope,,,
Greg Jurgensen,16,311, http://www.numberonemusic.com/gregjurgensen,https://www.facebook.com/greg.jurgensen.3,,https://www.youtube.com/channel/UCrRcYQhtADtLKBNYvY5egPg,
Queen Dyna,0,0,www.queendynaprojects.net,www.Facebook.com/queendyna,QD Paysryle,www.YouTube.com/queendynaproductions,QD Paystyle
Robert Bitte,25,662,www.polarvortexmusiclicensing.com,,,,
Rayon Zeal ,0,0,,,Rayonzeal ,,
Sean stone,0,0,,,,,
Asia (Songbyrd) Jamal,2,142,http://asiajamal.com,https://www.facebook.com/Songbyrdmusic/,https://www.instagram.com/songbyrd773/,https://www.youtube.com/channel/UCx8LCD4Uua-IqJkRR_BRbdA,@Songbyrd773
Left In The Rain,0,0,www.LTR312.com,www.facebook.com/leftintherain,www.instagram.com/leftintherainband,www.youtube.com/leftintherain,@LeftIn_The_Rain
Kaneo Blak,2,46,,Facebook.com/kaneoblak,Instagram.com/kaneo2watch,YouTube.com/kaneoblak,@iamkaneoblak
Squadd Six Ent..,2,44,https://m.youtube.com/channel/UCr73B18ZyhzbWY8Xfp2TBkQ,,,https://m.youtube.com/channel/UCr73B18ZyhzbWY8Xfp2TBkQ,
Meghan Griffith,1,20,www.soundcloud.com/mad_og,https://www.facebook.com/kennyandmeghan/?ref=aymt_homepage_panel,https://www.instagram.com/m3ggriff/,https://www.youtube.com/watch?v=8_8qeD5k67I,
Ryou Bakura,3,51,,,www.instagram.com/officialcreativechaos,,@touzokuoubakura
The Knowledge Plug,1,35,,Www.facebook.com/theknowledgeplug,@theknowledgeplug,https://www.youtube.com/channel/UC25LwHK7b4qNTld16Cl-TZw,
Sauceboy DC,1,23,www.soundcloud.com/carde_yeezy,https://www.facebook.com/Sauceboy-DC-1602909296440916/,Jeffrey Berry,https://youtu.be/FjZa74x3SwU,@carde_yeezy
WB Russell,0,0,,,,,
IamKingBenny,0,0,,www.facebook.com/Kingbenny.5ivedeepmedia,www.instagram.com/iamkingbenng,www.youtube.com/iamkingbenny,@itzbenny773281
Jaylin Santana,8,221,https://jaylinsantana.bandcamp.com/,https://www.facebook.com/jaylin4190/,https://www.instagram.com/jaylin_santana/,https://www.youtube.com/channel/UC8LSV7Uhjb8jCDRAK8cG0VA,https://twitter.com/Jaylin_Santana
Brandon Shane,1,22,,www.facebook.com/thebrandonshane,www.instagram.com/kingdomhiphop,,@thebrandonshane
Synsier ,0,0,,Synsier TheRapper ,Synsier_therapperr,Synsier TheRapper ,
NuSkooHippy,0,0,,,,,@nuskoohippy
The Queue,6,145,www.thequeueband.com,www.facebook.com/thequeue,www.instagram.com/thequeueband,www.youtube.com/thequeueband,@thequeueband
Angie Ramseier,2,80,,,www.instagram/angieramseiermusic,www.youtube.com/angiecharchalis,
Arlin Tawzer,0,0,,,,https://www.youtube.com/channel/UCZovtFgU2tFR_kSZ4Sk4pvA/videos?view=0&sort=p&flow=grid,
The Groan Men,1,30,https://sites.google.com/view/the-groan-men,https://www.facebook.com/TheGroanMen/,,https://www.youtube.com/channel/UCt82-osKyHAkZ7dRfqcIreQ,@TheGroanMen
Young Squad da Ruga,1,7,,YoungSquad Da Ruga,@young_squadruga5,,@youngsquaddaruga
Italo ,0,0,http://italo-b.squarespace.com,https://m.facebook.com/ItaMastaa,Www.instagram.com/ItaMasta,https://www.youtube.com/BeatZtheBoX,@ItaMasta
EJ Bisiar,11,357,www.EJBisiar.com,https://www.facebook.com/EJ-Bisiar-270872169634903/,,,
Tvapor,1,7,www.perfectautosupply.com,https://www.facebook.com/liquid2vapor/,,https://www.youtube.com/user/Tvapor7,https://twitter.com/TTramutt
King,11,249,https://kingsx75.wixsite.com/kingmusic,,King_music_art,https://www.youtube.com/channel/UCQlHU1Edd0_Q02RklmCs7ww,@kingdom216
Heka,0,0,hekac2.reverbnation.com,,Ryou Bakura,,lecreativechaos
TakeGang Heavy,2,68,https://m.soundcloud.com/heavytakegang,https://m.facebook.com/tay.d.walls?refid=8,Www.Instagram.come/Dmoneiheartless,,@Heavy_Takegang
Shea Teeley,0,0,www.soundcloud.com/shea-teeley,,,,
Chi-izzy,2,11,www.soundcloud.com/chidashizzy ,,,,@chidashizzy
Paul DesRosiers,5,128,,,,,
Jeffrey Coghill Music,3,96,jeffreycoghillmusci.com,https://www.facebook.com/jeffreycoghillmusic/,,,
Bert Mack,0,0,,,,,
Balcony Monkey,0,0,,Www.facebook.com/,,,
Cryptonamis ,0,0,,Www. Facebook.com/Cryptonamis ,Www.Instagram.com/crypticsoulent ,Www.youtube.com/CrypticSoulEnt,@ThatGuyPanama
DAVEY HARP ,0,0,,,,Www. YouTube dot-com./Davey Harp Channel ,
LilT4nk,1,15,www.lilt4nksmusic.com,www.facebook.com/LilT4nkProdigy,www.instagram.com/lilt4nkprodigy/,www.youtube.com/c/LilT4nksMusic,@LilT4nkProdigy
Tavious Soul,0,0,https://soundcloud.com/danny-t-voice/sets/the-walk,https://www.facebook.com/TaviousSoul/,www.instagram.com/tavioussoul,,
JusKooL K.O.E.,2,37,,https://www.facebook.com/GiftedChildK.O.E/,@JusKooL1,@JusKooL1,@JusKoe1
Gary Skopick's Redshift,41,813,www.soundclick.com/garyskopicksredshift,www.facebook.com/GARY-SKOPICKS-REDSHIFT-109481805757191/,,https://www.youtube.com/user/SGGURU,
StoryTeller ,0,0,Shopstoryteller.com,Www.facebook.com/storyteller,www.instegram.com/storytellermuzic ,www.youtube.com/storytellerrocksolid ,@storytmuzic
IC JONEZ ,1,29,www.icjonez.com ,www.Facebook.com/icjonez,https://instagram.com/icjonez,www.youtube.com/icjonez,@icjonez
Tony Rosario,0,0,https://www.reverbnation.com/tonyrosario,https://www.facebook.com/trutone1/,www.instagram.com/trutone1,https://www.youtube.com/user/trutone1,@trutone1
Peter Lloyd,10,288,peterlloyd.com,https://www.facebook.com/peter.lloyd.9615,,youtube.com/peter8lloyd/,@peterlloydwrite
Joe Candelario,2,66,www.candelariomusic.com,https://www.facebook.com/JoeCandelarioMusic/,,https://www.youtube.com/user/MadHare2011/featured,
Pamela Fernandez,0,0,www.Pamelafernandezmusic.com,www.Facebook.com/Pamelafernandez,www.instagram.com/Pamelathesinger,,@pamelareigns
Jeanie Jean,1,54,https://audiomack.com/artist/jeanie-jean,https://m.facebook.com/Jean-Sings-2064425790469416/,https://www.instagram.com/iamjeaniejean/,https://www.youtube.com/user/BrownieBabieSings,
SJ Gwap,2,7,https://soundcloud.com/sj-gwap/sj-gwap-arnold-oliver-everytime-remix,www.facebook.comm/sjgwap,www.instagram.com/sj_gwap,https://youtu.be/KvYFALrzWbQ,@sjgwap1
Falling From Forever,2,67,Www.fallingfromforever.bandcamp.com,Www.facebook.com/fallingfromforever777,Www.instagram.com/fallingfromforever,Www.youtube.com/fallingfromforever,
Barroom Prophet,0,0,,,,,
Zach Maxwell,1,38,www.zachmaxwellmusic.com,www.facebook.com/zachmaxwellmusic,www.instagram.com/zachmaxwellmusic,www.youtube.com/zachmaxwellmusic,NA
Rachie Jenn Farr,3,147,https://rachiejennfarr.bandcamp.com/releases,https://www.facebook.com/rachiejenn.farr.7,https://www.instagram.com/theoriginalrachiejenn/,,@RachieCreates
Shordyy,2,38,https://shordyy.bandcamp.com/releases,https://www.facebook.com/shordyy2y,https://www.instagram.com/shordyy_2yz/,https://www.youtube.com/watch?v=GoMgtLqALEE,https://twitter.com/shordyy2yz
Matt Ellipsis,2,86,www.m3dots.com,www.facebook.com/matthew.r.walker.3,,https://www.youtube.com/user/m3dots,@m3dots
Andy Jones,0,0,http://www.musicbyandyjones.com,,,,
Bay.B.Chef,0,0,,,,,
MightyGoku,0,0,,,MGL#13,MightyGoku Music,
Davo Da Man,0,0,https://youtu.be/gB6Fj8Tnsu4,David Greene ,@davodaman,David Greene,
Dion cowden,1,12,Www.soundcloud.com/dioncowden,,,,
Kobie,0,0,,,,,@JakobiGraves
Heat Stroke,1,24,,https://www.facebook.com/HeatStrokeChicago/,www.instagram.com/heatstrokejams,,@HeatStrokeJams
Kelsey Volk,0,0,,,,,
SweetSurrender ,0,0,Www.bandlab.com/kidxo,,Www.instagram.com/kidnowhere,,@kidnowhere
Azaw,3,71,,,,,
Jak Starzin,0,0,www.jakstarzin.com,,www.Instagram.com/officialjakstarzin,,@jakstarzin
Aiden Sherrill,0,0,,,www.instagram.com/rockin4reason,https://www.youtube.com/channel/UCRywEMVRDY28TQpIb5tD3BA,
Fames World ,0,0,https://m.soundcloud.com/famesworld/fames-world-pop-that,,@famesworld ,https://m.youtube.com/my_videos?disable_polymer=true&csn=GXkaW-3vIY2PwQH35YCACg,
Keith Beck's Zigman Bird,1,36,www.ZigmanBird.com,https://www.facebook.com/zigmanbird,,https://www.youtube.com/user/ZigmanBird,
Tim Malcuit,0,0,Www.timmalcuit.com,Facebook.com/timmalcuitmusic,Www.instagram.com/timmalcuitmusic,,@timmalcuitmusic
Joreim ,0,0,Soundofjoreim@gmail.com,Www.facebook.com/otownkidd,Www.instagram.com/officialjoreim,https://m.youtube.com/channel/UCsKz42vMBkkmXfRvLIdr4Ew,@officialjoreim
Linda Mackie,1,28,,,,,
Freeman Tyler,0,0,,,,,
The Spoiler,2,36,https://www.facebook.com/johnreinharddizonUSA,,,,@JohnRDizon
Ryan Douglas,1,27,https://ryandouglas.bandcamp.com,https://www.facebook.com/ryandouglasmusician/,,https://www.youtube.com/channel/UCXJb7Rn12HfQ8gA2VubsLhQ/featured,
As Rome Burns ,0,0,Www.asromeburns..com,,,,
Sam Sheavy,4,81,http://samsheavy.wixsite.com/sheavy,https://www.facebook.com/sam.sheavy.3?ref=bookmarks,https://www.instagram.com/ssready/,https://www.youtube.com/channel/UCHCR1dmjFTsIVlO1fd-MBKA,
Prince David ,0,0,,,,YouTube.com/five28hz,
FLOYDIUM ,0,0,www.floydium.com,,,,
Lance Norris and The Dog Track Gravy,2,47,www.lancenorris.webs.com,www.facebook.com/TheDogTrackGravy,www.instagram.com/lancernorris/,www.youtube.com/channel/UCaTTfeklEMarAH-YtagZegw,twitter.com/lancernorris
Myalucienna ,0,0,Www.soundcloud.com/myalucienna16,Www.favebook.com/Myalucienna ,Www.instagram.com/Myalucienna ,Www.youtube.com/Myalucienna ,Www.tqitter.com/Myalucienna 
Gyft’D,1,8,www.ImGyftD.com,www.Facebook.com/ImGyftD,www.Instagram.com/ImGyftD,www.youtube.com/ImGyftD1,@ImGyftD
Reverend Jim,5,95,reverendjim.bandcamp.com,www.facebook.com/therealrevjim,,https://www.youtube.com/channel/UCliAFiN0zZhDMPoUlieZ3lw?view_as=subscriber,
Tango,0,0,,,,,
Ironic,0,0,,Www.favebook.com/CJWhitfield22,https://instagram.com/p/BjYrMVUh5Nn/,https://youtu.be/pwlVO_hz1Tw,@cjwhitfield22
Twizm Whyte Piece ,4,25,http://www.OfficialtwizmwhytePiece.com ,www.Facebook.com/RealTwp,www.Instagram.com/OfficialTwizmWp,www.youtube.com/c/TwizmWhytePiece ,@TwizmWhytePiece
Cole Black,4,77,crazycole.com, https://www.facebook.com/crazycolerocks/,https://www.instagram.com/coleblackmusic/,https://www.youtube.com/user/CrazyColerocks,
Tommy Black,0,0,,https://www.facebook.com/tblacksouljazz/,,,@tommyblackplayjazz
Michael,4,0,,,,,
Emily Henry,0,0, ,,@emilyhenry_music,https://www.youtube.com/channel/UC4b1UDj1AS1k4pVmcgd-JNg,
J Latoy,0,0,Soundcloud.com/jlatoymusic,Facebook.com/officiallyJlatoy,Instagram.com/jlatoymusic,,@AllAboutMuZik
Sean O'Rourke,0,0,www.seanorourke.com,www.facebook.com/seankevinorourke,www.instagram.com/seankevinorourke,www.youtube.com/seanorourke,
Yabanada,1,17,www.yabanada.com,https://www.facebook.com/PrimalGruv/,www.instagram.com/yabanada,,@Yabanada
Scope,0,0,,,,,
MICHAELANTONIO,1,27,michaelantonio.biz,http://facebook.com/michaelantonio.music,https://www.instagram.com/michaelantonio_luckette/,https://www.youtube.com/user/michaelantonio,@michaelantonio
Sean Cairne,0,0,,,,,
Kenny Faithful,0,0,,,,,
Don King,1,0,,,,Youngiinkyboii,
Melekai Joe,3,30,http://melekairecords.org/index/,https://www.facebook.com/MelekaiJoeBMI/,,https://www.youtube.com/user/Melekaii/videos,
Suzanne VanRandwyk,0,0,www.vanrandwyk.com,https://www.facebook.com/SVanRandwyk/,https://www.instagram.com/vanrandwyk/,https://www.youtube.com/user/VanRandwyk,https://twitter.com/VanRandwyk
TwinR ,1,13,Www.drophedcoopmuzik.com,Tyson howell ,TwinR20m,Mrrozeroice mason ,@roze_roice
Race Lerma,0,0,Bit.do/racemusic,,Instagram.com/racelerma,Bit.do/racelerma ,@actuallyrace
Brandon Greb,1,21,,https://www.facebook.com/brandon.greb.1,https://www.instagram.com/brandongreb/,,@Brandon_Greb
Brosta ,1,15,,,Www.instagram.com/brostaaa_eie,,
Ned Lucas Band,0,0,nlucas.com,https://www.facebook.com/The-Ned-Lucas-Band-122212991163208/,,https://www.youtube.com/user/nedlucas,
Lennetta,0,0,,,,,
Dean Madonia,0,0,www.deanmadonia.com,https://d.facebook.com/Dean-Madonia,www.instagram/deanmadonia,https://www.youtube.com/user/deanmadonia,@deanmadonia
Lynn Anselmo,3,53,,Lynn Anselmo,,Lynn Anselmo,
Cat Black Band ,3,54,www.cdbaby.com/catblack,www.facebook.com/CatBlack,,,
David Blondino,0,0,,,,,
Sam Levin,0,0,www.thesamlevin.com/,www.facebook.com/thesamlevin/,www.instagram.com/thesamlevin/,www.youtube.com/channel/UCwt-4-FxtwxcIjpWuylxKxA,@thesamlevin
$hawnyglaas,1,17,https://soundcloud.com/shawnyglass,Www.Facebook.com/shawnyg,Www.Instagram.com/shawnyglass_,https://www.youtube.com/channel/UCCUy-EAB8Z7TsdIa1Xjdu0Q,@shawnyglass_doe
The Little Victories,0,0,https://thelittlevictories.bandcamp.com/album/undisclosed-unaware,,https://www.instagram.com/pacot33/?hl=en,https://www.youtube.com/channel/UCGky0l-MYQm7nj7fZ68dtwA,@pacot33
Percell Ford,5,104,,https://www.facebook.com/gregory.ford.169,https://www.instagram.com/percellford3008/,https://www.youtube.com/channel/UCPDwV3eSSlRfb-wgu774YUA/featured?view_as=subscriber,https://twitter.com/PercFord
TboLive,3,27,www.tbolive.com,,,,
Dennis Sharkey ,0,0,,,,,
The Pluto Gang,0,0,,,,,
Black Bruce Wayne,1,18,soundcloud.com/blackbwaj,https://www.facebook.com/AJH14,https://www.instagram.com/blackbwaj/,https://www.youtube.com/watch?v=ns8iEkuXRKI,@blackbwaj
Uncle Barnaby,5,94,Unclebarnaby.com,Facebook.com/unclebarnaby,,,
Dirt King,0,0,https://www.reverbnation.com/joshuacummins,https://m.facebook.com/DirtKingMusic,Instagram.com/1dirt_king,,@joshuacummins
Rick McKean,0,0,,www.facebook.com/rickmckeanmusic/,,https://www.youtube.com/channel/UC-N2yrApha_6UyRZpWiKmTQ,
Tae Digg (Touchey G),3,54,,https://www.facebook.com/photo.php?fbid=615953748767405&set=a.130173270678791.1073741829.100010583568545&type=3,theofficialtaedigg,https://www.youtube.com/channel/UCM6qIUIpQPySvJ0nLIxtXYw,
